Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,4,137.101,31.297,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,5,142.139,31.543,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,6,150.315,31.7032,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,1,7,151.415,31.727,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,2",267.682,31.1346,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,3",268.121,31.1362,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,4",267.774,31.1362,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,5",272.917,31.1834,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,6",283.059,31.2526,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"1,7",282.051,31.2509,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"2,3",270.111,31.2883,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"2,4",270.563,31.2884,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"2,5",274.875,31.3418,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"2,6",283.074,31.4189,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"2,7",284.073,31.4178,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"3,4",271.75,31.2947,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"3,5",274.886,31.348,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"3,6",282.681,31.4251,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"3,7",284.588,31.4242,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"4,5",275.357,31.3502,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"4,6",285.772,31.4275,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"4,7",284.32,31.4265,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"5,6",287.64,31.6262,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"5,7",288.679,31.6249,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,2,"6,7",296.729,31.7023,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,2,3",401.055,31.1367,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,2,4",401.956,31.1367,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,2,5",406.548,31.1884,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,2,6",415.13,31.2631,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,2,7",414.551,31.2623,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,3,4",402.176,31.1362,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,3,5",405.84,31.1877,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,3,6",414.315,31.2623,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,3,7",414.801,31.2617,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,4,5",406.324,31.1877,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,4,6",414.891,31.2623,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,4,7",415.217,31.2617,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,5,6",419.667,31.2606,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,5,7",419.62,31.2597,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"1,6,7",427,31.2521,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,3,4",402.884,31.2884,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,3,5",408.261,31.3415,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,3,6",416.233,31.4186,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,3,7",415.587,31.4176,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,4,5",407.99,31.3415,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,4,6",416.345,31.4186,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,4,7",416.228,31.4176,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,5,6",420.845,31.4225,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,5,7",421.372,31.4216,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"2,6,7",429.749,31.4182,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,4,5",408.074,31.348,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,4,6",417.085,31.4251,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,4,7",417.141,31.4242,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,5,6",420.914,31.4288,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,5,7",422.966,31.4278,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"3,6,7",430.083,31.4244,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"4,5,6",422.083,31.4311,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"4,5,7",422.92,31.4301,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"4,6,7",430.108,31.4267,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",2,3,"5,6,7",435.823,31.6252,"0,4,1,2,6,3,5"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,1,134.875,31.3528,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,2,143.092,31.7968,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,3,144.197,31.848,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,4,144.103,31.8531,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,5,144.254,31.8494,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,6,147.405,31.8679,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,1,7,151.622,31.9411,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,2",273.929,31.4621,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,3",275.71,31.4714,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,4",275.024,31.4713,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,5",276.245,31.4713,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,6",277.897,31.47,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"1,7",281.582,31.4694,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"2,3",282.426,31.8016,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"2,4",284.026,31.8016,"0,3,5,1,2,4,6"
ClassroomVideo,20,"0,7,8,10,11,12,13",3,2,"2,5",282.944,31.8016,"0,3,5,1,2,4,6"
