Dataset,Frame,Source view,Synthesized View,#passes,#viewperpasses,Execution time (sec),WS-PSNR,Sorted_selected_view
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,5,6",1336.109,32.3026,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,5,7",1334.887,32.3166,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"1,6,7",1337.692,32.3171,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,3,4",968.708,32.8232,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,3,5",1165.061,32.8871,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,3,6",1165.447,32.8911,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,3,7",1170.448,32.9088,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,4,5",1178.658,32.8902,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,4,6",1177.208,32.8931,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,4,7",1186.129,32.9092,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,5,6",1375.868,32.8962,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,5,7",1380.994,32.9122,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"2,6,7",1380.24,32.9125,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,4,5",1184.752,32.9006,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,4,6",1186.189,32.9036,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,4,7",1188.885,32.9195,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,5,6",1383.435,32.9004,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,5,7",1383.594,32.9164,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"3,6,7",1384.255,32.9167,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"4,5,6",1395.454,32.9727,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"4,5,7",1397.903,32.9898,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"4,6,7",1401.023,32.99,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",6,3,"5,6,7",1595.481,32.9596,"6,4,0,3,1,2,5"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,1,286.846,27.7038,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,2,289.364,27.8241,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,3,487.75,32.3878,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,4,489.775,32.4019,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,5,494.681,32.4109,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,6,508.4,32.5386,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,1,7,554.989,32.8956,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,2",566.885,27.7739,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,3",763.432,31.9721,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,4",766.005,31.9768,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,5",769.511,31.9888,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,6",783.555,32.1196,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"1,7",833.928,32.4298,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"2,3",767.95,32.1052,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"2,4",767.496,32.1125,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"2,5",772.286,32.1264,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"2,6",783.937,32.264,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"2,7",835.782,32.5849,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"3,4",966.665,32.398,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"3,5",970.428,32.4159,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"3,6",985.13,32.5512,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"3,7",1034.39,32.5962,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"4,5",972.173,32.4197,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"4,6",988.661,32.5545,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"4,7",1036.788,32.5995,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"5,6",989.966,32.5439,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"5,7",1041.667,32.588,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,2,"6,7",1052.486,32.583,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,2,3",1041.531,31.9716,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,2,4",1044.057,31.9767,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,2,5",1047.028,31.9902,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,2,6",1063.76,32.1243,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,2,7",1112.584,32.4347,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,3,4",1243.985,31.9797,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,3,5",1246.681,31.9952,"6,5,1,2,0,3,4"
TechnicolorHijack,50,"1,2,3,4,5,8,9",7,3,"1,3,6",1261.134,32.118,"6,5,1,2,0,3,4"
