"","Dataset","Frame","Synthesized.View","X.passes","WS.PSNR","CEL","theo_time","p1","p2","p3","V1","V2","V3","V4","V5","V6","V7"
"78","TechnicolorMuseum",50,3,2,27.5275,0.0648776998259011,116.026,2,4,0,0,11,13,12,4,1,17
"79","TechnicolorMuseum",50,3,2,27.6726,0.0660349427661589,116.19,2,5,0,0,11,13,12,4,1,17
"80","TechnicolorMuseum",50,3,2,27.8265,0.0655732897658246,119.355,2,6,0,0,11,13,12,4,1,17
"81","TechnicolorMuseum",50,3,2,28.0906,0.0513568241111612,157.537,2,7,0,0,11,13,12,4,1,17
"82","TechnicolorMuseum",50,3,2,27.5464,0.0650405943495423,116.026,3,4,0,0,11,13,12,4,1,17
"83","TechnicolorMuseum",50,3,2,27.6921,0.0662027713228333,116.19,3,5,0,0,11,13,12,4,1,17
"84","TechnicolorMuseum",50,3,2,27.8467,0.0657425327803611,119.355,3,6,0,0,11,13,12,4,1,17
"85","TechnicolorMuseum",50,3,2,28.1105,0.0514831436424459,157.537,3,7,0,0,11,13,12,4,1,17
"86","TechnicolorMuseum",50,3,2,27.6921,0.0662027713228333,116.19,4,5,0,0,11,13,12,4,1,17
"87","TechnicolorMuseum",50,3,2,27.8467,0.0657425327803611,119.355,4,6,0,0,11,13,12,4,1,17
"88","TechnicolorMuseum",50,3,2,28.1105,0.0514831436424459,157.537,4,7,0,0,11,13,12,4,1,17
"89","TechnicolorMuseum",50,3,2,27.8492,0.0657634786980018,119.355,5,6,0,0,11,13,12,4,1,17
"90","TechnicolorMuseum",50,3,2,28.1131,0.0514996477018097,157.537,5,7,0,0,11,13,12,4,1,17
"91","TechnicolorMuseum",50,3,2,28.0695,0.0512228873217086,157.537,6,7,0,0,11,13,12,4,1,17
"92","TechnicolorMuseum",50,3,3,26.2162,0.0535072089520121,116.175,1,2,3,0,11,13,12,4,1,17
"93","TechnicolorMuseum",50,3,3,26.2162,0.0535759226380294,116.026,1,2,4,0,11,13,12,4,1,17
"94","TechnicolorMuseum",50,3,3,26.323,0.0544194853257595,116.19,1,2,5,0,11,13,12,4,1,17
"95","TechnicolorMuseum",50,3,3,26.4354,0.0539181433538603,119.355,1,2,6,0,11,13,12,4,1,17
"96","TechnicolorMuseum",50,3,3,26.6255,0.0420567866596419,157.537,1,2,7,0,11,13,12,4,1,17
"97","TechnicolorMuseum",50,3,3,26.2327,0.0537181321427956,116.026,1,3,4,0,11,13,12,4,1,17
"98","TechnicolorMuseum",50,3,3,26.3399,0.054564936741544,116.19,1,3,5,0,11,13,12,4,1,17
"99","TechnicolorMuseum",50,3,3,26.4528,0.0540639269406393,119.355,1,3,6,0,11,13,12,4,1,17
"100","TechnicolorMuseum",50,3,3,26.6425,0.0421646978170208,157.537,1,3,7,0,11,13,12,4,1,17
"101","TechnicolorMuseum",50,3,3,26.3399,0.054564936741544,116.19,1,4,5,0,11,13,12,4,1,17
"102","TechnicolorMuseum",50,3,3,26.4528,0.0540639269406393,119.355,1,4,6,0,11,13,12,4,1,17
"103","TechnicolorMuseum",50,3,3,26.6425,0.0421646978170208,157.537,1,4,7,0,11,13,12,4,1,17
"104","TechnicolorMuseum",50,3,3,26.4546,0.0540790080013405,119.355,1,5,6,0,11,13,12,4,1,17
"105","TechnicolorMuseum",50,3,3,26.6444,0.0421767584757866,157.537,1,5,7,0,11,13,12,4,1,17
